"id","boxid","address","name","qrcode","serialnumber","status","modelnumber"
"1","73216297360","山东省临沂市兰山区红旗路与通达路	","城市风景2#2单元自产","http://assets.mayihezi.com/prod/box/Qrcode/20189/21193050656de5cfc48-6ba2-4bac-8997-42455437bde2.jpg","A2448","ONLINE","MA650-A"
"2","73216297342","山东省临沂市兰山区聚才六路妇幼保健院","山东医专第一附属医院（1）东边","http://assets.mayihezi.com/prod/merchant/icon/201712/1111474391eaade388-7eb0-44fe-a99e-a691229fba84.jpg","A2430","ONLINE","MA650-A"
"3","73216297341","山东省临沂市兰山区IEC国际企业中心 27楼 2723","A2429有物智能科技","http://assets.mayihezi.com/prod/box/Qrcode/20187/17145025150f49b1c33-f2c9-4719-837d-cf0503097178.jpg","A2429","OFFLINE","MA650-A"
"4","73200830801","山东省临沂市兰山区红旗路1号苏宁易购4楼","达内教育","http://assets.mayihezi.com/prod/box/Qrcode/20188/17146124692d7a7cf5-4d79-4c3a-aa32-41b3c44ed6a5.jpg","A2385","ONLINE","MA650A"
"5","73200765230","山东省临沂市罗庄区金九路远通","报废","http://assets.mayihezi.com/prod/merchant/icon/201712/6160353648cc714cc-fb37-4529-8210-90a96481f495.jpg","A2350","OFFLINE","MA650A"
"6","73200765229","山东省临沂市兰山区八一路与开阳路西200米路南沣果季","沣果季开阳路店2","http://assets.mayihezi.com/prod/merchant/icon/201712/614173148373c58465-9e49-4c4c-a0c1-e9937c60d974.jpg","A2349","ONLINE","MA"
"7","73200765215","山东省临沂市兰山区红旗路与通达路","城市风景 2#1单元自产","http://assets.mayihezi.com/prod/box/Qrcode/20187/131013372223e7b5945-0d07-49e8-b248-06a5165956fe.jpg","A2335","ONLINE","MA650A"
"8","73200568542","山东省临沂市兰山区兰陵路与府左路交叉口西北200米","大剧院A2270	","http://assets.mayihezi.com/prod/merchant/icon/201711/271515178397778c12c-fb5d-4150-9ca1-682226bb3615.jpg","A2270","ONLINE","MA650-A"
"9","73200306314","山东省临沂市兰山区红旗路与通达路","城市风景7#百货","http://assets.mayihezi.com/prod/merchant/icon/201711/2416302276288330e54-521d-4b5e-9936-fdca356c79a2.jpg","A2186","ONLINE","MA650A"
"10","73200306304","山东省临沂市兰山区南坊月澜锦城小区东门","龙龙超市","http://assets.mayihezi.com/prod/merchant/icon/201711/2416425593a71aeac7-ada5-4891-b405-f1e06402e55d.jpg","A2176","ONLINE","MA650A"
"11","73200306285","山东省临沂市河东区马自达4S店","河东马自达","http://assets.mayihezi.com/prod/merchant/icon/201711/24163140549555e20bb-7b9a-4645-b1b9-76a00c73d54e.jpg","A2157","ONLINE","MA650A"
"12","73200306280","山东省临沂市兰山区凤凰城附近","皇家果汇2","http://assets.mayihezi.com/prod/merchant/icon/201711/2417537254b0a49abf-dabd-4a0e-8dd4-0994cf02ba2e.jpg","A2152","ONLINE","MA650A"
"13","73200109631","山东省临沂市兰山区红旗路1号苏宁易购4楼","达内教育","http://assets.mayihezi.com/prod/merchant/icon/201711/24134340461dcb476c7-0b77-4908-9882-f8cbd0153d1d.jpg","A2111","ONLINE","MA650-A"
"14","73200109625","山东省临沂市兰山区沂蒙路与解放路交汇处北150米路西","移动营业厅 ","http://assets.mayihezi.com/prod/merchant/icon/201711/21165919527d230b85b-dd28-4d41-81cb-2a7af64dd22f.jpg","A2105","ONLINE","MA650-A"
"15","73200109612","山东省临沂市兰山区红旗路与通达路","城市风景2#2单元 百货","http://assets.mayihezi.com/prod/box/Qrcode/20185/3017140921734f90b1-c826-400d-add1-0bafad2f0024.jpg","A2092","ONLINE","MA650-A"
"16","73200109580","山东省临沂市兰山区红旗路与通达路","城市风景7#自产","http://assets.mayihezi.com/prod/merchant/icon/201711/18113515954a49e3a9f-2936-4586-8e5d-4e0e2d76b0bc.jpg","A2060","ONLINE","MA650-A"
"17","73199912934","山东省临沂市河东区斯柯达","斯柯达","http://assets.mayihezi.com/prod/merchant/icon/201711/16125338383d4ad1f7e-bd1d-484a-95c3-ad5f11e8148b.jpg","A2022","ONLINE","MA650-A"
"18","73199912925","山东省临沂市罗庄区沂河路55号","罗庄福特江铃4S店","http://assets.mayihezi.com/prod/merchant/icon/201711/21141646123a609aad1-83cd-4828-a8a1-4ccc6eab7b23.jpg","A2013","ONLINE","MA650-A"
"19","73199716293","山东省临沂市兰山区八一路与开阳路西200米路南沣果季","沣果季开阳路店","http://assets.mayihezi.com/prod/merchant/icon/201711/1615324642301e7b6c7-89f8-4c0b-a318-5c7ca3d4f218.jpg","A1989","ONLINE","MA650-A"
"20","73199716280","山东省临沂市兰山区通达路与后什街","沣果季后什店","http://assets.mayihezi.com/prod/merchant/icon/201711/1811165625a2b99069-df46-4e59-bebf-bb4f18743056.jpg","A1976(新读写器无需安装网络继电器)","ONLINE","MA650-A"
"21","73199650735","山东省临沂市兰山区工业大道与解放路	","溪苑兰亭","http://assets.mayihezi.com/prod/merchant/icon/201711/1314434579159adb1cd-1d66-408b-8f26-a4f9eae2af69.jpg","A1967","OFFLINE","MA650-A"
"22","73199519607","山东省临沂市罗庄区临沂恒润汽车销售服务有限公司","奔驰","http://assets.mayihezi.com/prod/merchant/icon/201711/1010738838e820a8bb-915d-4bff-960e-c08cc22588c6.jpg","A1911","ONLINE","MA650A"
"23","73199454014","山东省临沂市兰山区顺和街","香港城1栋自产","http://assets.mayihezi.com/prod/merchant/icon/201711/914480237693baf51-7402-4733-a4fb-4049a47eaf13.jpg","A1854","ONLINE","MA650A"
"24","73199454012","山东省临沂市罗庄区山东省临沂市罗庄区金九路远通	","吉普-吉普","http://assets.mayihezi.com/prod/merchant/icon/201711/913415776067564e01-b974-4fda-8c9f-853eea4cf9a4.jpg","A1852","OFFLINE","MA650A"
"25","73199388467","山东省临沂市罗庄区金九路远通","长安福特","http://assets.mayihezi.com/prod/merchant/icon/201711/916311235208c12568-5de8-49bf-a06b-995def5853c1.jpg","A1843","ONLINE","MA650A"
"26","73199388461","山东省临沂市河东区河东易丰专营店","日产易丰4S店","http://assets.mayihezi.com/prod/merchant/icon/201711/9151231407994a9ca-bd76-4d5b-9ee5-055ccda1e194.jpg","A1837 ","ONLINE","MA650A"
"27","73199388459","山东省临沂市兰山区凤凰城附近","皇家果汇","http://assets.mayihezi.com/prod/merchant/icon/201711/9163126669f5ea8ea8-1664-4f84-a6fd-4f493ef149dc.jpg","A1835 ","ONLINE","MA650A"
"28","73199388454","山东省临沂市兰山区顺和街 香港城1栋b","香港城1栋百货","http://assets.mayihezi.com/prod/merchant/icon/201711/716217285fa99ba7e-cb9d-42a0-a6be-2662b3ab49ac.jpg","A1830","ONLINE","MA-650A"
"29","73199388439","山东省临沂市河东区凤凰大街与东外环交汇处向北300米路东","荣威4S店","http://assets.mayihezi.com/prod/merchant/icon/201711/10112820431da77cf56-e32c-4afc-998f-94a2f09d17e5.jpg","A1815","ONLINE","MA650A"
